simulation_id,max_drawdown_pct,max_drawdown_usdt,max_losing_streak,final_equity_usdt,final_net_pnl_usdt
1,46.91315512,476.83,7,7239.12,6239.12
2,11.63747483,328.97,11,7239.12,6239.12
3,16.08310172,399.66,8,7239.12,6239.12
4,27.99946641,420.32,14,7239.12,6239.12
5,11.71369324,404.52,9,7239.12,6239.12
6,15.53624485,232.37,13,7239.12,6239.12
7,25.77570348,547.86,8,7239.12,6239.12
8,29.41233386,350.37,10,7239.12,6239.12
9,14.29944317,384.17,9,7239.12,6239.12
10,10.70468108,299.16,9,7239.12,6239.12
11,12.871,339.75,9,7239.12,6239.12
12,10.52102517,501.13,9,7239.12,6239.12
13,24.89033247,474.35,11,7239.12,6239.12
14,15.11815252,414.74,9,7239.12,6239.12
15,12.28841334,376.79,8,7239.12,6239.12
16,13.367,377.79,11,7239.12,6239.12
17,30.61170576,336.04,7,7239.12,6239.12
18,21.35018503,578,9,7239.12,6239.12
19,10.72886297,521.61,8,7239.12,6239.12
20,23.25083366,532,18,7239.12,6239.12
21,20.48033004,347.5,11,7239.12,6239.12
22,20.373,467.33,8,7239.12,6239.12
23,17.27122821,478.66,8,7239.12,6239.12
24,18.698,383.26,13,7239.12,6239.12
25,10.25826744,356.16,7,7239.12,6239.12
26,23.54630174,413.41,10,7239.12,6239.12
27,11.13350152,436.47,13,7239.12,6239.12
28,9.96942468,464.19,15,7239.12,6239.12
29,18.31203287,360,12,7239.12,6239.12
30,28.94197847,563.81,9,7239.12,6239.12
31,14.34191599,430.3,10,7239.12,6239.12
32,35.27498875,398.32,8,7239.12,6239.12
33,13.07859163,466.69,8,7239.12,6239.12
34,28.16314894,507.45,9,7239.12,6239.12
35,10.63180933,426.77,8,7239.12,6239.12
36,14.305,612.13,11,7239.12,6239.12
37,11.15424859,356.79,9,7239.12,6239.12
38,13.6747063,647.31,8,7239.12,6239.12
39,16.94605611,373.41,9,7239.12,6239.12
40,14.851,419.54,8,7239.12,6239.12
41,26.49656035,423.68,12,7239.12,6239.12
42,16.337,383.8,9,7239.12,6239.12
43,14.01306595,395.34,9,7239.12,6239.12
44,10.30366843,389.84,7,7239.12,6239.12
45,28.477,352.26,10,7239.12,6239.12
46,34.89141378,412.42,12,7239.12,6239.12
47,14.29163937,380.22,17,7239.12,6239.12
48,23.01807421,410.48,13,7239.12,6239.12
49,23.86931489,345.55,13,7239.12,6239.12
50,11.49864602,632.69,8,7239.12,6239.12
51,20.06142481,399.76,10,7239.12,6239.12
52,9.814518077,442.61,9,7239.12,6239.12
53,24.1666398,575.86,10,7239.12,6239.12
54,32.701,371.52,11,7239.12,6239.12
55,33.64275464,370.4,10,7239.12,6239.12
56,14.055,794.8,13,7239.12,6239.12
57,18.11888638,421.02,9,7239.12,6239.12
58,10.85892433,437.48,10,7239.12,6239.12
59,15.80497382,396.06,11,7239.12,6239.12
60,17.92735434,446.73,14,7239.12,6239.12
61,13.201,343.92,9,7239.12,6239.12
62,11.63112672,439.5,9,7239.12,6239.12
63,50.19266959,504.09,8,7239.12,6239.12
64,19.39721726,482.35,11,7239.12,6239.12
65,9.193,398.38,8,7239.12,6239.12
66,25.6917448,426.93,10,7239.12,6239.12
67,28.35983446,414.2,11,7239.12,6239.12
68,21.7,526.78,9,7239.12,6239.12
69,18.48644541,341.07,9,7239.12,6239.12
70,27.44656108,724.57,9,7239.12,6239.12
71,38.3018098,753.54,11,7239.12,6239.12
72,12.04962098,535.69,8,7239.12,6239.12
73,16.4709025,536.71,8,7239.12,6239.12
74,16.86904179,343.03,8,7239.12,6239.12
75,16.79670394,401.13,9,7239.12,6239.12
76,18.93265775,464.83,15,7239.12,6239.12
77,36.75241126,474.65,14,7239.12,6239.12
78,21.1798486,798.68,9,7239.12,6239.12
79,35.64578414,614.23,8,7239.12,6239.12
80,17.7667597,484.75,10,7239.12,6239.12
81,7.549251721,349.25,9,7239.12,6239.12
82,27.88542778,402.66,9,7239.12,6239.12
83,23.34193661,387.57,7,7239.12,6239.12
84,25.00784958,457.96,11,7239.12,6239.12
85,14.47733696,638.56,7,7239.12,6239.12
86,16.4182066,314.43,10,7239.12,6239.12
87,12.43495786,340.99,13,7239.12,6239.12
88,12.01740026,402.94,10,7239.12,6239.12
89,17.23851634,356.2,8,7239.12,6239.12
90,14.18032653,422.87,8,7239.12,6239.12
91,10.69790771,532.92,10,7239.12,6239.12
92,56.036,560.36,15,7239.12,6239.12
93,20.72332682,354.57,11,7239.12,6239.12
94,19.236,353.78,8,7239.12,6239.12
95,28.326,568.83,7,7239.12,6239.12
96,25.86739408,587.94,9,7239.12,6239.12
97,10.76335951,350.16,11,7239.12,6239.12
98,28.44280135,323.94,8,7239.12,6239.12
99,17.95664025,586.27,10,7239.12,6239.12
100,13.87517596,300.76,9,7239.12,6239.12
101,16.06426747,454.94,10,7239.12,6239.12
102,46.09998539,536.59,8,7239.12,6239.12
103,10.64556386,538.46,8,7239.12,6239.12
104,11.21580333,376.59,8,7239.12,6239.12
105,20.28385524,405.77,9,7239.12,6239.12
106,15.182,370.21,12,7239.12,6239.12
107,20.25056287,398.33,10,7239.12,6239.12
108,11.01544767,689,9,7239.12,6239.12
109,16.78925584,354.1,8,7239.12,6239.12
110,14.54687729,332.01,7,7239.12,6239.12
111,35.63531773,438.32,11,7239.12,6239.12
112,32.226,392.77,12,7239.12,6239.12
113,26.52236446,762.97,8,7239.12,6239.12
114,16.86639883,437.31,8,7239.12,6239.12
115,14.60116245,413.94,10,7239.12,6239.12
116,27.74277108,381.28,10,7239.12,6239.12
117,18.06938246,340.09,14,7239.12,6239.12
118,34.36368254,365.31,10,7239.12,6239.12
119,14.89116775,478.38,9,7239.12,6239.12
120,14.30330769,421.05,9,7239.12,6239.12
121,22.56996974,1019.51,9,7239.12,6239.12
122,17.11090941,803.08,18,7239.12,6239.12
123,50.40994984,544.74,8,7239.12,6239.12
124,13.27436552,436.82,8,7239.12,6239.12
125,12.97098842,479.31,11,7239.12,6239.12
126,31.26470147,374.82,6,7239.12,6239.12
127,21.18786858,806.84,8,7239.12,6239.12
128,10.91410642,436.01,8,7239.12,6239.12
129,12.97277697,604.63,9,7239.12,6239.12
130,16.11152416,311.41,10,7239.12,6239.12
131,19.74293966,255.55,9,7239.12,6239.12
132,14.29157352,417.17,10,7239.12,6239.12
133,12.72016323,349.66,12,7239.12,6239.12
134,13.05877066,470.07,9,7239.12,6239.12
135,13.29968825,565.27,10,7239.12,6239.12
136,16.45295806,482.26,7,7239.12,6239.12
137,33.95856081,522.5,8,7239.12,6239.12
138,17.53893391,649.52,9,7239.12,6239.12
139,17.52451739,564.87,13,7239.12,6239.12
140,11.1189798,428.63,12,7239.12,6239.12
141,11.10990443,448.67,9,7239.12,6239.12
142,23.71667485,488.12,12,7239.12,6239.12
143,15.81633477,403.72,10,7239.12,6239.12
144,15.36897864,414.32,12,7239.12,6239.12
145,22.63468266,356.14,14,7239.12,6239.12
146,13.39069214,338.45,10,7239.12,6239.12
147,22.58726537,384.11,7,7239.12,6239.12
148,15.01538462,381,8,7239.12,6239.12
149,21.13958446,313.84,8,7239.12,6239.12
150,30.84049988,335.01,9,7239.12,6239.12
151,48.92895801,515.31,8,7239.12,6239.12
152,24.39699623,493.5,9,7239.12,6239.12
153,20.65352746,364.1,7,7239.12,6239.12
154,36.676,366.76,12,7239.12,6239.12
155,15.00029838,318.92,9,7239.12,6239.12
156,17.10982118,411.19,7,7239.12,6239.12
157,8.72384102,493.82,9,7239.12,6239.12
158,21.56686633,746.77,6,7239.12,6239.12
159,15.84119046,621.48,9,7239.12,6239.12
160,18.19988653,529.28,8,7239.12,6239.12
161,32.2485075,442.56,9,7239.12,6239.12
162,9.6369689,325.53,9,7239.12,6239.12
163,21.11607771,536.22,9,7239.12,6239.12
164,14.16826589,764.13,9,7239.12,6239.12
165,12.51882659,615.52,11,7239.12,6239.12
166,36.09071564,376.52,8,7239.12,6239.12
167,15.19771726,552.32,14,7239.12,6239.12
168,59.828,598.28,13,7239.12,6239.12
169,17.02523764,432.86,8,7239.12,6239.12
170,27.21001345,359.01,11,7239.12,6239.12
171,13.01731788,582.24,9,7239.12,6239.12
172,7.06330679,306.62,14,7239.12,6239.12
173,23.48406233,558.97,11,7239.12,6239.12
174,21.26183575,302.72,8,7239.12,6239.12
175,31.67879418,499.79,10,7239.12,6239.12
176,9.116973877,597.49,11,7239.12,6239.12
177,10.09469949,393.77,9,7239.12,6239.12
178,10.92439162,320.23,10,7239.12,6239.12
179,15.13348125,467.9,11,7239.12,6239.12
180,16.61874375,324.24,8,7239.12,6239.12
181,69.377,693.77,9,7239.12,6239.12
182,15.60024708,257.61,7,7239.12,6239.12
