section,bucket,rank,metric,value,unit,trade_number,direction,entry_time,exit_time,holding_hours,net_pnl_usdt,net_pnl_pct_trade_value,note
data_integrity,,,csv_rows,1020,rows,,,,,,,,
data_integrity,,,parsed_trades,510,trades,,,,,,,,
data_integrity,,,parse_issues,0,issues,,,,,,,,
data_integrity,,,first_exit_time,2020-07-23 14:15:00,timestamp,,,,,,,,
data_integrity,,,last_exit_time,2026-06-10 09:30:00,timestamp,,,,,,,,
data_integrity,,,initial_capital_inferred_from_cumulative_columns,999.9951916,USDT,,,,,,,,rounded to 1000.00 for equity-return calculations because the inferred value is within one cent
user_verified_headline,,,net_return_pct,623.91,pct,,,,,,,,"user-supplied verified TradingView headline; included for comparison, not recomputed from the CSV"
user_verified_headline,,,max_drawdown_pct,10.86,pct,,,,,,,,"user-supplied verified TradingView headline; included for comparison, not recomputed from the CSV"
user_verified_headline,,,profit_factor,2.265,,,,,,,,,"user-supplied verified TradingView headline; included for comparison, not recomputed from the CSV"
user_verified_headline,,,cagr_pct,35.89,pct,,,,,,,,"user-supplied verified TradingView headline; included for comparison, not recomputed from the CSV"
user_verified_headline,,,trades,510,,,,,,,,,"user-supplied verified TradingView headline; included for comparison, not recomputed from the CSV"
csv_reconstruction,,,final_cumulative_pnl_usdt,6239.07,USDT,,,,,,,,
csv_reconstruction,,,final_equity_usdt,7239.07,USDT,,,,,,,,
csv_reconstruction,,,total_return_pct_from_cumulative_pnl,623.907,pct,,,,,,,,
csv_reconstruction,,,rounded_trade_pnl_sum_usdt,6239.12,USDT,,,,,,,,sum of rounded per-trade Net PnL values
csv_reconstruction,,,rounding_difference_sum_minus_cumulative_usdt,0.05,USDT,,,,,,,,small difference caused by TradingView CSV rounding
overall,,,gross_profit_usdt,11172.82,USDT,,,,,,,,
overall,,,gross_loss_usdt_abs,4933.7,USDT,,,,,,,,
overall,,,profit_factor_from_rounded_trade_pnl,2.264592497,ratio,,,,,,,,
overall,,,winners,223,trades,,,,,,,,
overall,,,losers,287,trades,,,,,,,,
overall,,,win_rate_pct,43.7254902,pct,,,,,,,,
overall,,,mean_trade_pnl_usdt,12.23356863,USDT,,,,,,,,
overall,,,median_trade_pnl_usdt,-0.45,USDT,,,,,,,,
overall,,,avg_win_usdt,50.10233184,USDT,,,,,,,,
overall,,,avg_loss_usdt,-17.19059233,USDT,,,,,,,,
overall,,,payoff_ratio_avg_win_abs_avg_loss,2.914520388,ratio,,,,,,,,
drawdown,,,csv_closed_trade_max_drawdown_pct,10.28811424,pct,,,,,,,,closed-trade equity from cumulative PnL column; not intrabar/floating-equity drawdown
drawdown,,,csv_closed_trade_max_drawdown_usdt,122.48,USDT,,,,,,,,
drawdown,,,max_drawdown_peak_trade,6,trade,6,long,2020-07-25 13:15:00,2020-07-26 10:15:00,21,158.35,4.32,
drawdown,,,max_drawdown_trough_trade,25,trade,25,long,2020-09-27 16:15:00,2020-09-28 23:15:00,31,0.3,0.41,
direction_attribution,long,,trade_count,346,trades,,,,,,,,post-hoc attribution from the full exported trade list; not independent validation
direction_attribution,long,,net_pnl_usdt,4216.73,USDT,,,,,,,,post-hoc attribution from the full exported trade list; not independent validation
direction_attribution,long,,return_on_initial_capital_pct,421.673,pct,,,,,,,,post-hoc attribution from the full exported trade list; not independent validation
